Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês
468,15;2009;24/10/2013;01/10/2009;01/10/09
3;2011;06/06/2011;09/05/2011;01/05/11
107;2009;26/03/2013;30/04/2009;01/04/09
53;2009;31/08/2012;30/04/2009;01/04/09
29;2008;10/11/2014;22/02/2008;01/02/08
228;2009;18/07/2012;17/09/2009;01/09/09
3;2014;27/02/2015;04/08/2014;01/08/14
50;2005;07/12/2012;03/03/2005;01/03/05
24;2009;;18/06/2009;01/06/09
493,55;2009;;08/02/2009;01/02/09
7;2010;18/05/2012;27/01/2010;01/01/10
156;2009;;08/05/2009;01/05/09
21;2010;21/10/2014;04/05/2010;01/05/10
92;2010;;20/01/2010;01/01/10
38,37;2008;27/07/2016;20/01/2008;01/01/08
20;2009;07/08/2012;30/03/2009;01/03/09
1272,02;2006;25/01/2016;09/01/2006;01/01/06
204,88;2010;18/11/2016;08/02/2010;01/02/10
20,7;2012;01/10/2013;19/03/2012;01/03/12
36;2010;26/03/2012;11/01/2010;01/01/10
7;2010;14/06/2011;05/01/2010;01/01/10
6;2014;;05/11/2014;01/11/14
652;2009;03/10/2014;24/04/2009;01/04/09
438,25;2010;03/07/2017;10/01/2010;01/01/10
435;2010;10/12/2014;30/06/2010;01/06/10
30;2009;07/05/2012;27/11/2009;01/11/09
30;2009;07/05/2012;27/11/2009;01/11/09
110;2017;;03/05/2017;01/05/17
12;2009;19/09/2013;16/11/2009;01/11/09
17,25;2015;27/04/2017;12/11/2015;01/11/15
133,99;2009;;06/10/2009;01/10/09
7;2009;;05/10/2009;01/10/09
22,21;2009;18/06/2012;01/10/2009;01/10/09
875,32;2013;17/11/2015;24/01/2013;01/01/13
134;2013;;24/01/2013;01/01/13
115;2009;;19/08/2009;01/08/09
172;2009;04/10/2013;19/08/2009;01/08/09
27,1;2009;;14/08/2009;01/08/09
8,4;2009;26/03/2012;07/08/2009;01/08/09
16;2014;04/12/2014;22/07/2014;01/07/14
13;2010;20/05/2013;20/07/2010;01/07/10
27,3;2013;17/10/2013;06/03/2013;01/03/13
29,75;2015;08/11/2017;18/09/2015;01/09/15
30;2010;06/03/2014;16/07/2010;01/07/10
15;2010;13/03/2015;13/07/2010;01/07/10
6;2010;14/12/2016;13/07/2010;01/07/10
6;2010;04/02/2016;13/07/2010;01/07/10
29;2010;26/03/2012;13/07/2010;01/07/10
79;2010;02/04/2013;06/07/2010;01/07/10
61,6;2012;;05/03/2012;01/03/12
13;2010;23/04/2018;01/07/2010;01/07/10
50;2010;24/05/2018;01/07/2010;01/07/10
406,7;2010;;30/06/2010;01/06/10
28,1;2014;28/04/2014;29/01/2014;01/01/14
18,24;2010;11/12/2013;23/06/2010;01/06/10
107,55;2010;16/05/2018;22/06/2010;01/06/10
373,35;2010;19/07/2018;15/06/2010;01/06/10
9,6;2009;;02/06/2009;01/06/09
7;2010;22/05/2012;02/06/2010;01/06/10
8;2009;24/10/2013;26/05/2009;01/05/09
55,8;2010;28/09/2015;01/06/2010;01/06/10
24;2010;15/06/2018;31/05/2010;01/05/10
25,35;2014;04/12/2014;22/07/2014;01/07/14
61;2010;;25/05/2010;01/05/10
6,66;2010;;21/07/2010;01/07/10
10;2009;25/06/2012;10/09/2009;01/09/09
142;2010;13/11/2013;19/07/2010;01/07/10
164;2010;13/11/2013;19/07/2010;01/07/10
13;2010;13/03/2012;15/07/2010;01/07/10
1;2010;;06/07/2010;01/07/10
56,5;2010;;29/04/2010;01/04/10
43,25;2010;17/04/2017;29/04/2010;01/04/10
99,15;2008;20/06/2013;11/08/2008;01/08/08
329;2010;11/12/2012;04/06/2010;01/06/10
38;2010;07/12/2012;20/04/2010;01/04/10
36,57;2010;02/12/2013;26/05/2010;01/05/10
15;2010;17/03/2016;25/05/2010;01/05/10
232,4;2010;;25/05/2010;01/05/10
6;2009;21/03/2012;15/10/2009;01/10/09
51;2010;08/05/2013;20/05/2010;01/05/10
200;2010;02/05/2012;16/07/2010;01/07/10
410;2010;13/07/2012;18/05/2010;01/05/10
18;2010;27/04/2012;28/06/2010;01/06/10
1,2;2010;;14/05/2010;01/05/10
215,4;2010;01/10/2013;23/06/2010;01/06/10
62;2014;20/08/2015;15/12/2014;01/12/14
281;2009;31/07/2012;29/09/2009;01/09/09
13;2010;23/08/2018;12/03/2010;01/03/10
33,25;2016;09/05/2017;11/05/2016;01/05/16
34;2010;;22/04/2010;01/04/10
144;2016;;19/07/2016;01/07/16
46,5;2016;;13/09/2016;01/09/16
15;2017;;22/11/2017;01/11/17
7;2010;15/05/2012;07/06/2010;01/06/10
211;2010;10/12/2015;01/06/2010;01/06/10
360,5;2010;03/05/2012;22/07/2010;01/07/10
6;2014;04/03/2015;24/07/2014;01/07/14
323;2010;19/07/2012;26/06/2010;01/06/10
1447,2;2015;;26/11/2015;01/11/15
54,85;2014;08/12/2015;18/06/2014;01/06/14
19;2008;19/03/2012;26/06/2008;01/06/08
13,8;2014;04/02/2015;23/07/2014;01/07/14
17;2010;;08/04/2010;01/04/10
882,61;2010;11/02/2015;28/04/2010;01/04/10
6;2009;01/08/2012;25/06/2009;01/06/09
11,17;2012;02/10/2013;20/03/2012;01/03/12
430;2010;28/11/2019;17/03/2010;01/03/10
26,5;2012;;14/05/2012;01/05/12
480,55;2013;12/02/2015;02/05/2013;01/05/13
197,75;2014;23/12/2014;20/06/2014;01/06/14
10,5;2017;19/02/2018;03/05/2017;01/05/17
18;2010;02/10/2012;22/01/2010;01/01/10
7;2011;10/01/2012;02/12/2011;01/12/11
6,5;2010;28/02/2012;22/01/2010;01/01/10
23;2010;11/06/2013;22/01/2010;01/01/10
6;2010;21/03/2012;10/05/2010;01/05/10
2,25;2014;15/12/2014;24/07/2014;01/07/14
17;2017;04/06/2019;02/05/2017;01/05/17
82;2017;17/09/2018;02/05/2017;01/05/17
56;2017;26/02/2021;04/05/2017;01/05/17
16;2017;23/01/2018;02/05/2017;01/05/17
12;2017;23/10/2017;03/05/2017;01/05/17
12,15;2014;;22/07/2014;01/07/14
13;2017;01/11/2018;02/05/2017;01/05/17
20,66;2014;;01/08/2014;01/08/14
21;2013;03/02/2014;06/05/2013;01/05/13
31;2013;21/06/2013;06/05/2013;01/05/13
61,5;2017;06/10/2017;02/05/2017;01/05/17
81,5;2014;03/08/2015;25/07/2014;01/07/14
289,48;2014;04/01/2016;27/06/2014;01/06/14
103;2008;26/03/2012;15/07/2008;01/07/08
12;2017;23/10/2017;03/05/2017;01/05/17
12;2014;17/01/2018;29/07/2014;01/07/14
117,79;2014;10/06/2015;29/07/2014;01/07/14
14;2012;06/02/2014;03/05/2012;01/05/12
264;2013;20/07/2015;29/04/2013;01/04/13
38,36;2012;;27/04/2012;01/04/12
15;2014;04/03/2016;18/07/2014;01/07/14
260,25;2017;21/09/2017;28/04/2017;01/04/17
17,7;2014;;21/07/2014;01/07/14
220,16;2017;17/11/2020;02/05/2017;01/05/17
113,4;2014;27/03/2018;22/07/2014;01/07/14
52,5;2014;22/09/2017;18/07/2014;01/07/14
5;2014;20/08/2015;18/07/2014;01/07/14
19,2;2014;15/10/2014;17/07/2014;01/07/14
14;2014;05/08/2014;18/07/2014;01/07/14
387,9;2014;;16/07/2014;01/07/14
308;2012;02/08/2013;12/11/2012;01/11/12
11,8;2013;28/05/2015;23/01/2013;01/01/13
11;2014;29/08/2014;23/07/2014;01/07/14
18,75;2014;24/10/2014;21/07/2014;01/07/14
3;2014;10/10/2014;31/07/2014;01/07/14
29;2017;20/07/2017;28/04/2017;01/04/17
25,4;2014;09/10/2014;14/07/2014;01/07/14
127,18;2014;24/05/2019;14/07/2014;01/07/14
175,83;2014;;14/07/2014;01/07/14
106,58;2014;;14/07/2014;01/07/14
17,25;2014;21/07/2014;15/07/2014;01/07/14
149,77;2017;18/12/2018;27/04/2017;01/04/17
43,5;2012;18/04/2016;18/04/2012;01/04/12
25,4;2014;19/08/2015;14/07/2014;01/07/14
200;2014;;14/07/2014;01/07/14
6;2014;06/11/2014;22/07/2014;01/07/14
149,77;2017;18/12/2018;27/04/2017;01/04/17
200;2014;;11/07/2014;01/07/14
200;2014;;11/07/2014;01/07/14
300;2014;;11/07/2014;01/07/14
24;2014;07/08/2014;16/07/2014;01/07/14
153,9;2014;04/02/2015;14/07/2014;01/07/14
26,95;2017;18/04/2018;03/05/2017;01/05/17
40,5;2017;;27/04/2017;01/04/17
0,6;2014;05/01/2016;10/07/2014;01/07/14
4,5;2017;08/08/2018;26/04/2017;01/04/17
131,25;2013;21/01/2014;06/05/2013;01/05/13
7;2017;;26/04/2017;01/04/17
489,75;2014;;10/07/2014;01/07/14
30;2014;02/09/2014;10/07/2014;01/07/14
38;2014;06/07/2015;11/07/2014;01/07/14
9;2014;;09/07/2014;01/07/14
3,06;2017;10/07/2017;28/04/2017;01/04/17
190,35;2013;09/12/2013;06/05/2013;01/05/13
297;2013;26/09/2013;02/05/2013;01/05/13
12;2013;16/05/2013;25/01/2013;01/01/13
22,4;2017;18/08/2017;26/04/2017;01/04/17
2863,05;2014;18/10/2019;28/07/2014;01/07/14
362;2014;;09/07/2014;01/07/14
2;2013;28/02/2013;23/01/2013;01/01/13
4,5;2014;09/03/2015;10/07/2014;01/07/14
107,8;2014;04/04/2018;08/07/2014;01/07/14
4;2017;04/07/2017;27/04/2017;01/04/17
43;2014;27/07/2015;11/07/2014;01/07/14
3;2014;10/11/2014;08/07/2014;01/07/14
45;2014;;11/07/2014;01/07/14
242;2014;;11/07/2014;01/07/14
11,5;2017;19/09/2017;25/04/2017;01/04/17
186;2014;;09/07/2014;01/07/14
19,5;2014;;09/07/2014;01/07/14
271,6;2014;09/12/2019;07/07/2014;01/07/14
119,7;2014;20/07/2016;08/08/2014;01/08/14
100;2014;;11/07/2014;01/07/14
115,6;2017;29/09/2017;27/04/2017;01/04/17
149,77;2017;18/12/2018;26/04/2017;01/04/17
6;2017;;25/04/2017;01/04/17
5;2018;06/11/2018;11/04/2018;01/04/18
54;2012;27/06/2012;19/04/2012;01/04/12
47,9;2014;09/06/2016;04/07/2014;01/07/14
87,62;2014;09/03/2015;03/07/2014;01/07/14
29,75;2017;20/12/2018;01/08/2017;01/08/17
14,6;2019;;20/12/2019;01/12/19
24;2013;06/09/2013;30/04/2013;01/04/13
252;2012;;14/09/2012;01/09/12
8,7;2012;01/11/2012;14/09/2012;01/09/12
12;2017;;20/04/2017;01/04/17
47,5;2017;24/04/2018;19/04/2017;01/04/17
49,15;2017;09/04/2019;24/04/2017;01/04/17
16,32;2017;11/02/2019;20/04/2017;01/04/17
118,75;2014;26/10/2015;03/07/2014;01/07/14
1069,44;2017;10/01/2019;19/04/2017;01/04/17
45;2017;02/08/2017;19/04/2017;01/04/17
21,75;2017;22/09/2017;19/04/2017;01/04/17
6;2014;;02/07/2014;01/07/14
11,36;2017;01/06/2017;18/04/2017;01/04/17
75,75;2017;28/02/2018;19/04/2017;01/04/17
22,03;2017;19/10/2018;20/04/2017;01/04/17
140,63;2017;10/08/2018;18/04/2017;01/04/17
150;2014;;27/06/2014;01/06/14
200,15;2014;26/09/2016;28/07/2014;01/07/14
0,6;2017;08/09/2017;27/04/2017;01/04/17
6;2014;07/12/2015;11/07/2014;01/07/14
7,4;2014;16/09/2014;04/08/2014;01/08/14
32;2014;20/03/2015;02/07/2014;01/07/14
146,1;2014;;01/07/2014;01/07/14
152,19;2014;;01/07/2014;01/07/14
164,36;2014;;01/07/2014;01/07/14
87,41;2014;18/05/2017;27/06/2014;01/06/14
18;2014;;27/06/2014;01/06/14
45,56;2014;;27/06/2014;01/06/14
20;2014;;27/06/2014;01/06/14
51,8;2017;28/06/2018;13/04/2017;01/04/17
248,92;2017;18/05/2020;19/04/2017;01/04/17
19,89;2019;20/08/2019;03/05/2019;01/05/19
64,5;2014;;01/07/2014;01/07/14
6;2013;08/04/2013;24/01/2013;01/01/13
137,63;2017;09/01/2019;19/04/2017;01/04/17
7;2014;10/11/2014;27/06/2014;01/06/14
500;2018;;11/12/2018;01/12/18
13,5;2017;30/10/2017;12/04/2017;01/04/17
347;2012;07/08/2012;11/05/2012;01/05/12
165;2012;28/11/2012;28/06/2012;01/06/12
6;2014;01/09/2014;27/06/2014;01/06/14
21,05;2017;15/09/2017;13/04/2017;01/04/17
5,19;2017;10/07/2017;18/04/2017;01/04/17
22,5;2017;29/09/2017;12/04/2017;01/04/17
4;2014;05/09/2014;27/06/2014;01/06/14
46;2014;08/12/2014;25/06/2014;01/06/14
197,25;2014;07/06/2016;01/07/2014;01/07/14
70,91;2014;11/01/2016;25/06/2014;01/06/14
40,28;2014;02/10/2014;25/06/2014;01/06/14
31,6;2014;12/09/2014;25/06/2014;01/06/14
53,03;2014;04/12/2018;03/07/2014;01/07/14
12;2014;07/08/2014;25/06/2014;01/06/14
34;2014;30/07/2014;25/06/2014;01/06/14
4,5;2017;06/04/2018;13/04/2017;01/04/17
324,82;2014;10/07/2018;25/06/2014;01/06/14
20,75;2014;27/11/2014;03/07/2014;01/07/14
187,65;2017;;11/04/2017;01/04/17
34,45;2013;02/05/2014;30/04/2013;01/04/13
6;2013;03/09/2013;21/01/2013;01/01/13
726,9;2013;01/10/2018;20/01/2013;01/01/13
105,23;2013;07/03/2018;30/10/2013;01/10/13
4;2013;28/08/2013;21/01/2013;01/01/13
12;2014;02/07/2015;24/06/2014;01/06/14
100;2014;;11/07/2014;01/07/14
60,25;2017;;10/04/2017;01/04/17
52;2017;05/06/2017;10/04/2017;01/04/17
21,5;2017;16/01/2018;10/04/2017;01/04/17
286,94;2013;19/04/2017;29/04/2013;01/04/13
10;2013;21/05/2013;21/01/2013;01/01/13
4;2013;02/12/2013;30/04/2013;01/04/13
6;2014;28/07/2014;16/05/2014;01/05/14
14;2013;;22/01/2013;01/01/13
43;2012;16/08/2012;06/03/2012;01/03/12
580,2;2010;29/05/2012;02/08/2010;01/08/10
47;2015;07/06/2017;17/11/2015;01/11/15
82;2010;22/03/2012;29/07/2010;01/07/10
8,89;2010;13/03/2012;29/07/2010;01/07/10
234,96;2014;;28/07/2014;01/07/14
493;2014;;29/09/2014;01/09/14
37;2010;14/01/2014;05/08/2010;01/08/10
298;2010;;11/08/2010;01/08/10
23;2012;08/08/2012;23/04/2012;01/04/12
209;2011;27/01/2012;04/07/2011;01/07/11
132,54;2010;;31/08/2010;01/08/10
6;2012;;07/03/2012;01/03/12
120;2015;;02/09/2015;01/09/15
4,44;2010;;20/08/2010;01/08/10
161;2010;12/06/2012;12/08/2010;01/08/10
4,44;2010;25/07/2012;20/08/2010;01/08/10
227;2010;;16/08/2010;01/08/10
30,75;2014;22/05/2015;23/07/2014;01/07/14
30;2010;;13/08/2010;01/08/10
29,7;2015;;04/11/2015;01/11/15
6;2010;17/08/2012;20/08/2010;01/08/10
40;2010;05/11/2013;01/09/2010;01/09/10
230;2015;;03/12/2015;01/12/15
1,8;2010;;19/08/2010;01/08/10
4,44;2010;;20/08/2010;01/08/10
39;2010;;01/09/2010;01/09/10
605,12;2010;16/08/2018;24/08/2010;01/08/10
29;2012;;13/06/2012;01/06/12
108,15;2012;15/01/2013;11/06/2012;01/06/12
212,26;2010;03/07/2017;03/09/2010;01/09/10
3;2010;22/10/2014;02/09/2010;01/09/10
617;2010;16/08/2012;02/09/2010;01/09/10
10;2013;18/03/2013;18/01/2013;01/01/13
38;2010;;09/09/2010;01/09/10
9;2010;09/07/2012;08/09/2010;01/09/10
10;2012;;06/03/2012;01/03/12
162,3;2010;06/09/2016;13/09/2010;01/09/10
11,11;2010;;13/09/2010;01/09/10
13,5;2017;26/10/2017;10/04/2017;01/04/17
98;2010;03/08/2012;17/09/2010;01/09/10
15,57;2010;07/06/2013;17/09/2010;01/09/10
33;2010;18/07/2012;23/09/2010;01/09/10
24,2;2010;13/09/2016;22/09/2010;01/09/10
13;2010;18/01/2013;20/09/2010;01/09/10
2,22;2010;13/03/2012;28/09/2010;01/09/10
8,33;2010;13/03/2012;28/09/2010;01/09/10
8;2010;20/10/2014;28/09/2010;01/09/10
63;2010;01/06/2012;27/09/2010;01/09/10
43;2010;;29/09/2010;01/09/10
241;2010;04/06/2013;01/10/2010;01/10/10
116,2;2010;09/07/2012;30/09/2010;01/09/10
321;2010;09/07/2012;30/09/2010;01/09/10
85,5;2010;22/08/2014;26/10/2010;01/10/10
30;2014;24/07/2014;09/02/2014;01/02/14
32,95;2012;27/04/2016;06/03/2012;01/03/12
408,03;2010;08/05/2017;11/10/2010;01/10/10
21;2010;;15/10/2010;01/10/10
57,5;2010;21/03/2014;17/10/2010;01/10/10
464,9;2010;03/12/2012;20/10/2010;01/10/10
55;2010;;28/10/2010;01/10/10
177,93;2010;17/10/2019;08/11/2010;01/11/10
19;2010;20/04/2012;27/10/2010;01/10/10
7;2010;;28/10/2010;01/10/10
7;2012;;06/03/2012;01/03/12
31;2010;21/07/2011;22/10/2010;01/10/10
62;2010;21/07/2011;22/10/2010;01/10/10
28;2010;20/03/2014;26/10/2010;01/10/10
331,13;2010;31/05/2012;03/11/2010;01/11/10
177;2010;;04/11/2010;01/11/10
10;2010;17/01/2013;17/11/2010;01/11/10
75;2010;;02/11/2010;01/11/10
3;2013;27/03/2013;18/01/2013;01/01/13
331;2010;26/11/2012;09/11/2010;01/11/10
130;2010;11/04/2014;08/11/2010;01/11/10
26,67;2010;;11/11/2010;01/11/10
12,22;2010;;16/11/2010;01/11/10
7;2010;;25/11/2010;01/11/10
11,11;2010;20/02/2018;11/11/2010;01/11/10
10,5;2017;04/05/2018;10/04/2017;01/04/17
72;2010;;15/11/2010;01/11/10
184;2010;18/07/2012;16/11/2010;01/11/10
9,5;2014;17/03/2015;29/07/2014;01/07/14
41,4;2010;01/04/2011;18/11/2010;01/11/10
489;2010;;17/11/2010;01/11/10
3,6;2010;18/03/2013;25/11/2010;01/11/10
6;2013;10/01/2020;17/01/2013;01/01/13
6;2010;;24/11/2010;01/11/10
16;2014;15/12/2014;23/07/2014;01/07/14
2;2010;15/03/2012;23/11/2010;01/11/10
693,6;2010;25/01/2016;30/11/2010;01/11/10
6;2012;17/06/2013;11/05/2012;01/05/12
7;2010;;08/12/2010;01/12/10
13;2013;10/06/2013;10/05/2013;01/05/13
12;2011;26/11/2012;24/01/2011;01/01/11
1,33;2010;13/03/2012;06/12/2010;01/12/10
95;2010;05/07/2011;06/12/2010;01/12/10
13;2010;;06/12/2010;01/12/10
6;2010;21/08/2012;06/12/2010;01/12/10
34,17;2010;24/09/2019;01/12/2010;01/12/10
0,6;2010;;01/12/2010;01/12/10
230;2010;13/06/2011;03/12/2010;01/12/10
278,4;2010;06/06/2013;09/12/2010;01/12/10
18;2010;;08/12/2010;01/12/10
10;2010;02/04/2012;07/12/2010;01/12/10
112,35;2010;19/02/2013;07/12/2010;01/12/10
8,94;2010;;09/12/2010;01/12/10
108,8;2013;;14/06/2013;01/06/13
216,95;2010;14/03/2014;15/12/2010;01/12/10
47,2;2012;17/09/2012;30/03/2012;01/03/12
1;2010;28/12/2011;13/12/2010;01/12/10
4,5;2010;17/09/2014;13/12/2010;01/12/10
96;2010;18/06/2012;15/12/2010;01/12/10
6,22;2010;;16/12/2010;01/12/10
2,4;2010;;16/12/2010;01/12/10
1,8;2010;;16/12/2010;01/12/10
146;2010;;15/12/2010;01/12/10
603,75;2013;03/02/2014;20/01/2013;01/01/13
0,5;2011;;02/01/2011;01/01/11
345;2011;19/01/2015;03/01/2011;01/01/11
97,8;2011;13/03/2012;20/01/2011;01/01/11
6;2011;29/01/2013;24/01/2011;01/01/11
37;2011;;09/01/2011;01/01/11
1,78;2011;11/05/2015;06/01/2011;01/01/11
340,65;2011;05/09/2011;07/01/2011;01/01/11
5,5;2011;;20/05/2011;01/05/11
72;2011;03/10/2014;18/01/2011;01/01/11
179;2011;30/08/2012;17/01/2011;01/01/11
72;2011;10/10/2014;18/01/2011;01/01/11
11,91;2017;20/12/2017;07/04/2017;01/04/17
599,05;2011;09/09/2014;13/01/2011;01/01/11
33,75;2014;10/10/2014;20/06/2014;01/06/14
744;2011;07/06/2013;02/02/2011;01/02/11
60;2011;;30/01/2011;01/01/11
52;2014;16/01/2017;10/12/2014;01/12/14
7;2011;30/03/2012;02/02/2011;01/02/11
29;2011;07/03/2012;06/07/2011;01/07/11
490,5;2011;16/08/2017;01/02/2011;01/02/11
3;2014;22/08/2014;03/07/2014;01/07/14
60;2011;13/06/2012;01/02/2011;01/02/11
70;2011;28/07/2011;01/02/2011;01/02/11
20;2011;25/05/2011;03/02/2011;01/02/11
14;2017;15/05/2017;13/04/2017;01/04/17
64;2011;10/10/2014;06/02/2011;01/02/11
364,57;2011;17/03/2016;06/02/2011;01/02/11
106,94;2011;03/02/2012;07/02/2011;01/02/11
335;2011;20/06/2012;07/02/2011;01/02/11
96;2011;;02/02/2011;01/02/11
29,4;2011;14/06/2013;10/02/2011;01/02/11
4,2;2011;;08/02/2011;01/02/11
4,2;2011;;08/02/2011;01/02/11
69;2011;09/01/2014;10/02/2011;01/02/11
48;2011;27/06/2011;09/02/2011;01/02/11
4,2;2011;;08/02/2011;01/02/11
50;2015;;15/01/2015;01/01/15
15,5;2014;20/10/2014;22/07/2014;01/07/14
25,84;2011;;16/02/2011;01/02/11
47;2011;10/06/2014;14/02/2011;01/02/11
40;2011;11/06/2014;14/02/2011;01/02/11
107;2011;10/06/2014;14/02/2011;01/02/11
2;2011;;21/06/2011;01/06/11
116,75;2011;11/06/2014;14/02/2011;01/02/11
411,75;2011;05/11/2012;17/02/2011;01/02/11
72,63;2011;25/05/2016;17/02/2011;01/02/11
138;2011;13/04/2012;15/02/2011;01/02/11
350;2011;;23/02/2011;01/02/11
175;2011;;17/02/2011;01/02/11
27;2011;10/08/2011;23/02/2011;01/02/11
17;2011;;23/02/2011;01/02/11
54;2011;23/05/2012;04/03/2011;01/03/11
14;2011;14/06/2011;04/03/2011;01/03/11
110;2011;03/10/2011;02/03/2011;01/03/11
18;2011;26/07/2011;02/03/2011;01/03/11
50;2011;16/07/2013;02/03/2011;01/03/11
2,22;2011;13/03/2012;04/03/2011;01/03/11
2,22;2011;13/03/2012;03/03/2011;01/03/11
319,15;2011;06/03/2013;04/03/2011;01/03/11
7;2011;18/05/2012;02/03/2011;01/03/11
55,52;2011;;09/03/2011;01/03/11
209;2011;03/02/2016;08/03/2011;01/03/11
5;2011;16/01/2012;01/03/2011;01/03/11
1;2011;;28/02/2011;01/02/11
35,96;2011;01/10/2013;20/06/2011;01/06/11
934,04;2011;21/01/2016;08/03/2011;01/03/11
1361,45;2011;25/01/2016;27/02/2011;01/02/11
306;2011;20/10/2015;27/02/2011;01/02/11
3503,88;2011;25/01/2016;27/02/2011;01/02/11
318,24;2011;17/02/2016;27/02/2011;01/02/11
769,57;2011;10/12/2014;27/02/2011;01/02/11
1;2011;;25/02/2011;01/02/11
4,5;2011;08/05/2014;25/02/2011;01/02/11
13,5;2011;15/09/2015;04/03/2011;01/03/11
138;2011;29/06/2012;02/03/2011;01/03/11
3;2011;22/09/2014;01/03/2011;01/03/11
4,5;2011;05/11/2014;01/03/2011;01/03/11
328;2011;09/12/2013;25/02/2011;01/02/11
11,9;2011;07/05/2012;03/03/2011;01/03/11
12;2011;06/05/2011;03/03/2011;01/03/11
7;2011;;17/03/2011;01/03/11
26,01;2011;;11/03/2011;01/03/11
38;2011;29/05/2014;11/03/2011;01/03/11
96;2011;20/12/2013;10/03/2011;01/03/11
80,45;2011;08/02/2017;11/03/2011;01/03/11
69;2011;05/06/2012;18/03/2011;01/03/11
3;2011;16/06/2011;17/03/2011;01/03/11
34;2011;10/05/2011;23/03/2011;01/03/11
10;2011;06/09/2013;18/03/2011;01/03/11
222;2011;17/09/2012;18/03/2011;01/03/11
155;2011;01/10/2013;18/03/2011;01/03/11
15,79;2017;10/10/2017;10/04/2017;01/04/17
13;2011;07/11/2014;23/03/2011;01/03/11
37;2011;20/04/2011;23/03/2011;01/03/11
8,5;2011;12/05/2011;23/03/2011;01/03/11
3;2011;;25/03/2011;01/03/11
52;2011;26/03/2014;25/03/2011;01/03/11
34;2011;04/05/2012;29/03/2011;01/03/11
1;2011;06/01/2012;28/03/2011;01/03/11
7;2011;05/08/2013;29/03/2011;01/03/11
6;2011;18/04/2013;06/04/2011;01/04/11
30;2011;12/06/2012;01/04/2011;01/04/11
179;2011;08/11/2012;31/03/2011;01/03/11
0,05;2011;;31/03/2011;01/03/11
363,23;2011;26/04/2017;31/03/2011;01/03/11
6;2011;16/06/2011;31/03/2011;01/03/11
56;2011;19/03/2012;02/04/2011;01/04/11
4,2;2011;;04/04/2011;01/04/11
43;2011;28/02/2012;04/04/2011;01/04/11
1;2011;13/02/2012;04/04/2011;01/04/11
9,6;2011;;07/04/2011;01/04/11
488,13;2011;03/10/2014;06/04/2011;01/04/11
24;2011;29/04/2011;05/04/2011;01/04/11
12;2011;;05/04/2011;01/04/11
18;2011;03/05/2011;05/04/2011;01/04/11
4,5;2011;06/05/2014;05/04/2011;01/04/11
2,4;2011;;05/04/2011;01/04/11
12,24;2011;06/05/2014;05/04/2011;01/04/11
